event,site,date,round,white,black,result,white_elo,black_elo,eco,set_up,time_control,start_time,end_time,termination,link,movetext,n_moves,w1,b1,w2,b2,w3,b3,w4,b4,w5,b5,w6,b6,w7,b7,w8,b8,w9,b9,w10,b10,last_move,complete_movetext,w_b_moves,w_k_moves,w_n_moves,w_o_moves,w_q_moves,w_r_moves,b_b_moves,b_k_moves,b_n_moves,b_o_moves,b_q_moves,b_r_moves,b_moves,k_moves,n_moves_2,o_moves,q_moves,r_moves,termination_broad,me,win,draw,loss,my_result,elo_dif,my_elo
Rapid,Chess.com,2020-10-31,-,JAVIELITOPLAYA,therealslim_kt,1-0,1973,1952,A45,NA,600,21:17:06,21:31:25,JAVIELITOPLAYA won by resignation,https://www.chess.com/live/game/5665976487,1. d4 Nf6 2. g3 e6 3. Bg2 d5 4. Nf3 c5 5. c3 Nc6 6. a3 Bd6 7. O-O O-O 8. Re1 Ne4 9. Nbd2 f5 10. Nb3 Qb6 11. dxc5 Nxc5 12. Nxc5 Bxc5 13. e3 a5 14. Ng5 Ne5 15. Qh5 h6 16. Nh3 Nd3 17. Rd1 Ne5 18. Nf4 Ng4 19. h3 Nf6 20. Qg6 e5 21. Nxd5 Nxd5 22. Bxd5+ Kh8 23. Qh5 f4 24. Qxe5 fxe3 25. Bxe3 Bxe3 26. Qxe3 Qxb2 27. Rdb1 Qc2 28. Kg2 Bf5 29. Rxb7 Rae8 30. Qd4 Be4+ 31. Bxe4 Qxe4+ 32. Qxe4 Rxe4 33. Rb5 Re2 34. Rf1 a4 35. Rb4 Rc2 36. c4 Rc8 37. Rxa4 R2xc4 38. Rxc4 Rxc4 39. Ra1 Ra4 40. Kf3 g5 41. Ke3 Kg7 42. Kd3 Kf6 43. Kc3 Ke5 44. Kb3 Ra5 45. a4 Kd6 46. Kb4 Ra7 47. a5 Kc7 48. Kb5 Kb7 49. Re1 Ra6 50. Re7+,50,d4,Nf6,g3,e6,Bg2,d5,Nf3,c5,c3,Nc6,a3,Bd6,O-O,O-O,Re1,Ne4,Nbd2,f5,Nb3,Qb6,Re7+,TRUE,4,9,8,1,7,13,5,8,10,1,4,12,9,17,18,2,11,25,Normal,Black,0,0,TRUE,Loss,-21,1952
Rapid,Chess.com,2020-10-31,-,therealslim_kt,uic004,1-0,1976,1853,A43,NA,600,20:03:08,20:14:39,therealslim_kt won by resignation,https://www.chess.com/live/game/5665666000,1. d4 c5 2. d5 d6 3. c4 e5 4. e4 Ne7 5. Nc3 Ng6 6. g3 Be7 7. Bh3 Bxh3 8. Nxh3 h6 9. Be3 O-O 10. Qd2 Kh7 11. f4 f5 12. O-O-O Qd7 13. Nf2 fxe4 14. h3 a6 15. Ng4 exf4 16. gxf4 Nxf4 17. Bxf4 Rxf4 18. Qxf4 Bg5 19. Rhf1 Bxf4+ 20. Rxf4 Qe7 21. Rdf1 Qg5 22. Nxe4 Qg6 23. Rf7 h5 24. Nef6+ Qxf6 25. Nxf6+ Kg6 26. Ne4 b5 27. Nxd6 bxc4 28. Nxc4 a5 29. Rf8 a4 30. d6,30,d4,c5,d5,d6,c4,e5,e4,Ne7,Nc3,Ng6,g3,Be7,Bh3,Bxh3,Nxh3,h6,Be3,O-O,Qd2,Kh7,d6,TRUE,3,1,10,1,2,6,4,3,3,1,5,2,7,4,13,2,7,8,Normal,White,1,0,FALSE,Win,123,1976
Blitz,Chess.com,2020-10-31,-,Miki05,therealslim_kt,0-1,1750,1736,C00,NA,180,17:52:46,17:58:51,therealslim_kt won on time,https://www.chess.com/live/game/5665070378,1. e4 e6 2. Nf3 d5 3. exd5 exd5 4. d4 Bd6 5. Nc3 Nf6 6. Bg5 Bg4 7. Nxd5 Bxh2 8. Rxh2 Qxd5 9. Bf4 Qe4+ 10. Be3 Nd5 11. Qe2 Nc6 12. O-O-O O-O-O 13. Qd3 Bxf3 14. gxf3 Qxf3 15. Bg2 Qf6 16. Kb1 Ncb4 17. Qb3 Nxe3 18. fxe3 Nc6 19. d5 Na5 20. Qb4 Qb6 21. Qg4+ Kb8 22. Qxg7 Nc4 23. b3 Nxe3 24. Re1 Rhe8 25. Bf3 Qc5 26. c4 Qd6 27. Qxf7 Qxh2,27,e4,e6,Nf3,d5,exd5,exd5,d4,Bd6,Nc3,Nf6,Bg5,Bg4,Nxd5,Bxh2,Rxh2,Qxd5,Bf4,Qe4+,Be3,Nd5,Qxh2,TRUE,5,2,3,1,7,3,4,2,9,1,8,2,9,4,12,2,15,5,Time forfeit,Black,1,0,FALSE,Win,-14,1736
Blitz,Chess.com,2020-10-31,-,therealslim_kt,AncientGame,1-0,1727,1627,D02,NA,180,17:48:17,17:52:31,therealslim_kt won by resignation,https://www.chess.com/live/game/5665049747,1. d4 d5 2. Nf3 Nc6 3. Bf4 Bg4 4. e3 Nf6 5. Bd3 Nh5 6. Bg3 Nxg3 7. hxg3 e5 8. dxe5 Nxe5 9. Be2 Bc5 10. Nxe5 Bxe2 11. Qxe2 Qf6 12. Nd3 Bb6 13. Nc3 O-O-O 14. O-O-O d4 15. exd4 Bxd4 16. Ne4 Qa6 17. Qg4+ Kb8 18. Kb1 g6 19. Nec5 Qc6 20. Nb3 Bg7 21. Rd2 f5 22. Qf3 Qb6 23. Rhd1 Rhe8 24. Re2 Rxe2 25. Qxe2 Qf6 26. f4 a6 27. Ne5 Qc6 28. Rxd8+ Ka7 29. Nxc6+,29,d4,d5,Nf3,Nc6,Bf4,Bg4,e3,Nf6,Bd3,Nh5,Bg3,Nxg3,hxg3,e5,dxe5,Nxe5,Be2,Bc5,Nxe5,Bxe2,Nxc6+,TRUE,4,2,9,1,4,5,6,3,5,1,6,3,10,5,14,2,10,8,Normal,White,1,0,FALSE,Win,100,1727
Blitz,Chess.com,2020-10-31,-,therealslim_kt,ASH_IBRA,0-1,1721,1722,D00,NA,180,17:46:29,17:48:09,ASH_IBRA won by checkmate,https://www.chess.com/live/game/5665040835,1. d4 d5 2. Bf4 c6 3. Nf3 e6 4. e3 Nf6 5. Bd3 Nbd7 6. O-O Be7 7. Bg3 O-O 8. Ne5 Ne4 9. f4 Nxg3 10. hxg3 f6 11. Ng4 e5 12. fxe5 fxe5 13. Nxe5 Nxe5 14. dxe5 Bg5 15. Nc3 Bxe3+ 16. Kh2 Qg5 17. Rxf8+ Kxf8 18. Qf3+ Kg8 19. Rf1 Qh6+ 20. Qh5 Qxh5#,20,d4,d5,Bf4,c6,Nf3,e6,e3,Nf6,Bd3,Nbd7,O-O,Be7,Bg3,O-O,Ne5,Ne4,f4,Nxg3,hxg3,f6,Qxh5#,TRUE,3,2,5,1,2,3,3,3,5,1,3,1,6,5,10,2,5,4,Normal,White,0,0,TRUE,Loss,-1,1721
Blitz,Chess.com,2020-10-31,-,abozarhooshyar100,therealslim_kt,1-0,1750,1729,B20,NA,180,17:21:57,17:26:18,abozarhooshyar100 won by checkmate,https://www.chess.com/live/game/5664923174,1. e4 c5 2. Bc4 Nc6 3. a3 g6 4. d3 a6 5. c3 Bg7 6. Nf3 b5 7. Ba2 Bb7 8. Ng5 e6 9. O-O Nge7 10. f4 O-O 11. Qg4 b4 12. Qh3 h6 13. Nf3 a5 14. e5 Nf5 15. g4 Nfe7 16. g5 h5 17. Nh4 bxc3 18. bxc3 Qb6 19. Nd2 c4+ 20. d4 d5 21. exd6 Bxd4+ 22. cxd4 Qxd4+ 23. Kh1 Qxa1 24. Bxc4 Nd5 25. Bxd5 exd5 26. Nxg6 fxg6 27. Qe6+ Kg7 28. f5 Rxf5 29. Rxf5 Qxc1+ 30. Rf1 Qxd2 31. Rf7+ Kh8 32. Qf6+ Kg8 33. Qg7#,33,e4,c5,Bc4,Nc6,a3,g6,d3,a6,c3,Bg7,Nf3,b5,Ba2,Bb7,Ng5,e6,O-O,Nge7,f4,O-O,Qg7#,TRUE,4,2,6,1,5,4,3,4,5,1,5,2,7,6,11,2,10,6,Normal,Black,0,0,TRUE,Loss,-21,1729
Blitz,Chess.com,2020-10-31,-,Boogie2410,therealslim_kt,0-1,1725,1737,A45,NA,180,17:18:17,17:21:34,therealslim_kt won by checkmate,https://www.chess.com/live/game/5664906947,1. d4 Nf6 2. Nc3 e6 3. e4 Bb4 4. f3 d5 5. e5 Nfd7 6. h4 c5 7. Be3 cxd4 8. Bxd4 Nc6 9. Ne2 Ndxe5 10. Bxe5 Nxe5 11. Qd4 Nc4 12. O-O-O a5 13. Qxg7 Rf8 14. a3 Nxa3 15. bxa3 Bxa3+ 16. Kd2 Bb4 17. Ke1 Qb6 18. Qxh7 Bd7 19. Rd3 Bb5 20. Kd2 Bxd3 21. cxd3 a4 22. Kc2 a3 23. Nc1 Bxc3 24. Kxc3 Qb2#,24,d4,Nf6,Nc3,e6,e4,Bb4,f3,d5,e5,Nfd7,h4,c5,Be3,cxd4,Bxd4,Nc6,Ne2,Ndxe5,Bxe5,Nxe5,Qb2#,TRUE,3,6,3,1,3,2,7,0,7,0,2,1,10,6,10,1,5,3,Normal,Black,1,0,FALSE,Win,12,1737
Bullet,Chess.com,2020-10-31,-,ElMasturbator,therealslim_kt,1-0,1841,1787,C02,NA,60,16:18:01,16:20:14,ElMasturbator won by resignation,https://www.chess.com/live/game/5664622288,1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Nh6 6. Bd3 Nf5 7. Bxf5 exf5 8. O-O Be6 9. Nbd2 c4 10. Re1 Be7 11. Nf1 Qc7 12. Ng5 h6 13. Nxe6 fxe6 14. Ng3 O-O-O 15. Nh5 g5 16. Nf6 Bxf6 17. exf6 Qf7 18. Qe2 Rde8 19. b3 cxb3 20. axb3 a6 21. Be3 Qxf6 22. c4 f4 23. cxd5 fxe3 24. dxc6 exf2+ 25. Qxf2 Qxf2+ 26. Kxf2 bxc6 27. Rxa6 Kb7 28. Ra5 Rhf8+ 29. Kg3 Rd8 30. Rae5 Rxd4 31. h3 Rd3+ 32. R5e3 Rfd8 33. Kg4 R8d4+ 34. Kh5 Rxe3 35. Rxe3 Rh4+ 36. Kg6 Kc7 37. Rxe6 Kd7 38. Re3 Rb4 39. Kxh6 Rh4+ 40. Kxg5 Rb4 41. g4 c5 42. h4 c4 43. bxc4 Rxc4 44. h5 Rc7 45. Rh3 Kc8 46. h6 Rh7 47. Kg6 Rh8 48. h7 Kd7 49. Kg7 Rd8 50. h8=Q Rxh8 51. Rxh8 Ke6 52. Rh6+ Ke5 53. g5,53,e4,e6,d4,d5,e5,c5,c3,Nc6,Nf3,Nh6,Bd3,Nf5,Bxf5,exf5,O-O,Be6,Nbd2,c4,Re1,Be7,g5,TRUE,3,10,8,1,2,12,3,8,3,1,4,19,6,18,11,2,6,31,Normal,Black,0,0,TRUE,Loss,-54,1787
Bullet,Chess.com,2020-10-31,-,therealslim_kt,Daestro,1-0,1794,1739,A41,NA,60,16:16:15,16:17:49,therealslim_kt won by resignation,https://www.chess.com/live/game/5664614539,1. d4 d6 2. c4 Nc6 3. Nc3 Bg4 4. h3 Bh5 5. g4 Bg6 6. f4 e6 7. Nf3 Be7 8. Be3 Nf6 9. g5 Nd7 10. Qb3 f5 11. O-O-O O-O 12. h4 Bh5 13. Bg2 g6 14. Rdf1 b6 15. Nd2 a5 16. Bxc6 Nb8 17. Bxa8 Na6 18. Bf3 Nb4 19. Bxh5 gxh5 20. Nf3 c5 21. d5 exd5 22. Nxd5 Kg7 23. Nxe7 Qxe7 24. Rd1 Nxa2+ 25. Kb1 Qxe3 26. Qxe3 Re8 27. Qxe8,27,d4,d6,c4,Nc6,Nc3,Bg4,h3,Bh5,g4,Bg6,f4,e6,Nf3,Be7,Be3,Nf6,g5,Nd7,Qb3,f5,Qxe8,TRUE,6,2,6,1,3,3,5,2,7,1,2,2,11,4,13,2,5,5,Normal,White,1,0,FALSE,Win,55,1794
Bullet,Chess.com,2020-10-31,-,ArkaStevey,therealslim_kt,1-0,1782,1787,C00,NA,60,16:14:35,16:16:07,ArkaStevey won by checkmate,https://www.chess.com/live/game/5664607136,1. e4 e6 2. Nf3 d5 3. d3 c5 4. e5 Nc6 5. Bf4 Nge7 6. c4 Ng6 7. Bg3 Qc7 8. d4 cxd4 9. Nxd4 Ncxe5 10. cxd5 exd5 11. Nc3 Be6 12. Bb5+ Bd7 13. O-O Bxb5 14. Ncxb5 Qb6 15. a4 Bc5 16. Nf5 O-O 17. Qd2 a6 18. b4 axb5 19. bxc5 Qxc5 20. axb5 Nc4 21. Qc3 Qxb5 22. Qxg7#,22,e4,e6,Nf3,d5,d3,c5,e5,Nc6,Bf4,Nge7,c4,Ng6,Bg3,Qc7,d4,cxd4,Nxd4,Ncxe5,cxd5,exd5,Qxg7#,TRUE,3,1,5,1,3,1,4,1,5,1,4,1,7,2,10,2,7,2,Normal,Black,0,0,TRUE,Loss,5,1787
